Ref,Val,Package,PosX,PosY,Rot,Side
"AMP2","THS7316","SSOP-8_3.95x5.21x3.27mm_P1.27mm",119.507000,-73.406000,90.000000,top
"C1","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.611000,-106.934000,180.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.444000,-73.152000,90.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.872000,-80.781000,-90.000000,top
"C28","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.332000,-80.781000,90.000000,top
"C29","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.412000,-80.781000,90.000000,top
"FB1","Ferrite Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",129.023000,-73.406000,0.000000,top
"FB2","Ferrite Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",129.041000,-66.802000,0.000000,top
"R30","3k3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",114.427000,-70.231000,90.000000,top
"R31","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.555000,-66.040000,-90.000000,top
"R32","2k2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",114.427000,-75.701000,-90.000000,top
"R33","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.722000,-60.706000,0.000000,top
"R34","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.722000,-65.786000,180.000000,top
"R35","75","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.722000,-63.246000,0.000000,top
"R36","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.437000,-94.996000,180.000000,top
"R37","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.437000,-85.471000,180.000000,top
"R38","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.412000,-90.551000,-90.000000,top
"R39","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",114.427000,-85.471000,90.000000,top
"R40","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.967000,-85.471000,-90.000000,top
"REG2","LM1117IMPX-3.3","SOT-223",119.380000,-101.600000,0.000000,top
